timestamp,event_type,detection_result,orange_percentage,green_percentage,duration_seconds,debug_mode
2025-09-05 12:47:36,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_124736.png
2025-09-05 12:48:37,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_124837.png
2025-09-05 13:01:57,unknown_detection,不明,0.0,100.0,0.0,normal,2.png
2025-09-05 13:05:42,orange_start,オレンジ,100.0,0.0,0.0,normal,temp_frame_20250905_130542.png
2025-09-05 13:07:45,orange_start,オレンジ,100.0,0.0,0.0,normal,temp_frame_20250905_130745.png
2025-09-05 13:08:45,orange_continue,オレンジ,100.0,0.0,60.0,normal,temp_frame_20250905_130845.png
2025-09-05 13:09:45,orange_continue,オレンジ,100.0,0.0,120.0,normal,temp_frame_20250905_130945.png
2025-09-05 13:10:45,orange_continue,オレンジ,100.0,0.0,180.0,normal,temp_frame_20250905_131045.png
2025-09-05 13:11:45,orange_continue,オレンジ,100.0,0.0,240.1,normal,temp_frame_20250905_131145.png
2025-09-05 13:12:45,orange_continue,オレンジ,100.0,0.0,300.1,normal,temp_frame_20250905_131245.png
2025-09-05 13:13:45,orange_continue,オレンジ,100.0,0.0,360.1,normal,temp_frame_20250905_131345.png
2025-09-05 13:14:45,orange_continue,オレンジ,100.0,0.0,420.1,normal,temp_frame_20250905_131445.png
2025-09-05 13:15:45,orange_continue,オレンジ,100.0,0.0,480.1,normal,temp_frame_20250905_131545.png
2025-09-05 13:16:45,orange_continue,オレンジ,100.0,0.0,540.2,normal,temp_frame_20250905_131645.png
2025-09-05 13:17:46,notification,オレンジ,100.0,0.0,600.2,normal,temp_frame_20250905_131745.png
2025-09-05 13:31:01,orange_start,オレンジ,100.0,0.0,0.0,normal,temp_frame_20250905_133101.png
2025-09-05 13:56:47,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_135646.png
2025-09-05 13:57:46,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_135746.png
2025-09-05 13:58:46,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_135846.png
2025-09-05 13:59:47,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_135946.png
2025-09-05 14:00:47,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_140046.png
2025-09-05 14:01:47,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_140147.png
2025-09-05 14:02:47,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_140247.png
2025-09-05 14:03:47,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_140347.png
2025-09-05 14:04:47,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_140447.png
2025-09-05 14:05:47,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_140547.png
2025-09-05 14:06:47,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_140647.png
2025-09-05 14:07:47,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_140747.png
2025-09-05 14:08:47,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_140847.png
2025-09-05 14:09:47,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_140947.png
2025-09-05 14:10:47,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_141047.png
2025-09-05 14:11:47,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_141147.png
2025-09-05 14:12:47,orange_start,オレンジ,100.0,0.0,0.0,normal,temp_frame_20250905_141247.png
2025-09-05 14:13:47,orange_end,緑,0.0,100.0,60.0,normal,temp_frame_20250905_141347.png
2025-09-05 14:14:47,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_141447.png
2025-09-05 14:15:47,orange_start,オレンジ,100.0,0.0,0.0,normal,temp_frame_20250905_141547.png
2025-09-05 14:16:47,orange_continue,オレンジ,100.0,0.0,60.0,normal,temp_frame_20250905_141647.png
2025-09-05 14:17:47,orange_continue,オレンジ,100.0,0.0,120.0,normal,temp_frame_20250905_141747.png
2025-09-05 14:18:47,orange_continue,オレンジ,100.0,0.0,180.0,normal,temp_frame_20250905_141847.png
2025-09-05 14:19:47,orange_continue,オレンジ,100.0,0.0,240.1,normal,temp_frame_20250905_141947.png
2025-09-05 14:20:47,orange_continue,オレンジ,100.0,0.0,300.1,normal,temp_frame_20250905_142047.png
2025-09-05 14:21:05,orange_start,オレンジ,100.0,0.0,0.0,normal,temp_frame_20250905_142105.png
2025-09-05 14:22:05,orange_continue,オレンジ,100.0,0.0,60.0,normal,temp_frame_20250905_142205.png
2025-09-05 14:23:05,orange_continue,オレンジ,100.0,0.0,120.1,normal,temp_frame_20250905_142305.png
2025-09-05 14:24:05,orange_continue,オレンジ,100.0,0.0,180.1,normal,temp_frame_20250905_142405.png
2025-09-05 14:25:05,orange_continue,オレンジ,100.0,0.0,240.1,normal,temp_frame_20250905_142505.png
2025-09-05 14:26:05,orange_continue,オレンジ,100.0,0.0,300.1,normal,temp_frame_20250905_142605.png
2025-09-05 14:27:05,orange_continue,オレンジ,100.0,0.0,360.1,normal,temp_frame_20250905_142705.png
2025-09-05 14:28:05,orange_continue,オレンジ,100.0,0.0,420.1,normal,temp_frame_20250905_142805.png
2025-09-05 14:29:05,orange_continue,オレンジ,100.0,0.0,480.1,normal,temp_frame_20250905_142905.png
2025-09-05 14:30:05,orange_continue,オレンジ,100.0,0.0,540.2,normal,temp_frame_20250905_143005.png
2025-09-05 14:31:06,notification,オレンジ,100.0,0.0,600.2,normal,temp_frame_20250905_143105.png
